05e9 0f94
ef8f f902
f098 f97c
f1ad fb95
f1c6 fd0b
f10b fd54
f12d fd85
f1f6 fe17
f113 ff01
ef04 ff3d
eece fea9
f0b0 ff44
f282 00d6
f333 01e6
f275 0241
f107 01d5
f05e 01a1
efe9 025f
ef6f 032f
f04d 0357
f215 033f
f350 03d3
f3a9 045c
f381 03be
f332 035d
f29a 0452
f191 0589
f12b 06b4
f208 07aa
f2dc 07c8
f332 075c
f3b9 06a6
f421 05fd
f40d 05ad
f453 05fa
f53c 0781
f555 0997
f427 0a62
f3e4 099f
f58f 08e1
f6a8 08cc
f52a 0888
f329 07bd
f3bc 07c6
f5c3 0957
f625 0ad8
f52e 0b23
f521 0ad9
f5db 0ace
f600 0b9d
f5cc 0cc4
f5b8 0c79
f58c 0afa
f559 0a20
f617 0a7f
f7ef 0bbf
f83e 0c9a
f66b 0be1
f5aa 0ac6
f5c8 0aec
f4b6 0b5b
f497 0ab7
f702 09f3
f955 0a17
f92e 0b0e
f757 0cb5
f65a 0df0
f726 0d97
f7e1 0c14
f70d 0a7b
f56e 0a28
f460 0ad0
f48b 0a85
f558 09e1
f558 0a14
f52b 09ca
f65e 0899
f78b 083a
f6e1 099e
f54f 0b82
f4b7 0c2d
f521 0b6e
f5c5 0a0a
f71e 095c
f834 09ba
f77f 0985
f645 089d
f59b 07ee
f515 0753
f450 0655
f356 04e5
f2f7 045e
f352 0591
f34a 072c
f22e 07d2
f064 0684
ef7d 0396
f077 0202
f192 02df
f14b 03d8
f0ce 045d
f0d5 0539
f0b9 05cc
f055 05d7
f05b 05cf
f139 0598
f17f 049f
f03d 0300
ef6e 0242
efe7 02b0
eff2 01ff
ef7c ffef
ef72 feb5
ef63 fdb9
ef3a fc1d
ef96 fbb8
f0a5 fc6e
f1ef fd08
f2f3 fe09
f380 feac
f2fc fdd8
f1ee fcf6
f21b fd3b
f2e8 fdb1
f2ab fd09
f21c fb9a
f258 fafb
f2e0 fb8b
f309 fc01
f30a fbbf
f31d fb4d
f315 faab
f2dd f9d0
f256 f962
f20e f95f
f298 f8d1
f2f8 f7c6
f28d f76a
f1b0 f7aa
f16f f802
f2fb f8a7
f4e7 f8dd
f584 f80b
f5a1 f750
f600 f799
f66f f7e5
f6ce f719
f71c f6b0
f70b f73d
f694 f6da
f64b f58f
f665 f497
f718 f40d
f884 f399
f952 f293
f87e f0cb
f774 ef9a
f75f f05e
f785 f27a
f781 f381
f7c5 f277
f85a f1e5
f8cc f332
f935 f3f2
fa02 f298
fa26 f152
f8c0 f1d1
f7ec f225
f8fd f139
fa57 f0aa
fbb9 f0b2
fd8e f0c4
fe9f f183
fe77 f297
fdc8 f2c5
fd35 f1b5
fd88 f02e
fe9e efc3
ff04 f0fa
ff11 f217
0093 f18a
02b3 f012
0347 ef88
028d f057
024e f121
02fb f14f
036c f111
033e f028
035a ef4d
03c9 eff4
03b7 f1ee
0331 f385
02fd f30b
0457 f0e6
072a f05f
08fa f218
08d0 f306
0823 f2ad
07c4 f29c
0788 f337
07a6 f3f2
08c1 f40c
09ef f3d5
0929 f3c3
0718 f3e2
0605 f495
061a f4e3
06e4 f48d
089e f528
0ac0 f5f1
0bd9 f56d
0b18 f4db
09f1 f55a
0a6d f612
0bff f665
0c45 f633
0b65 f56d
0bcb f520
0d61 f5dc
0e80 f682
0ece f6cf
0e7b f723
0dde f72a
0d32 f799
0c6f f941
0c19 faf6
0ca0 fb5a
0d40 fae7
0cdf fa89
0be1 faaa
0bc5 fb7a
0c91 fbdc
0d5f fb45
0e7f facf
0f78 fa8c
0f47 f9e2
0f02 f9c3
0f05 fbc4
0e7a fe77
0ec0 fee1
1045 fdca
107d fdc3
0f08 febe
0e0d ff63
0e28 ff50
0eb3 ff38
0f90 ffce
1049 00db
0fba 01ea
0dee 028b
0c62 01f7
0c89 0094
0dd3 005c
0e6f 0192
0e54 029c
0e22 03b0
0d6f 054b
0c49 058a
0bfb 04e6
0ca1 05b3
0c5f 06de
0ae5 0773
09b5 07e3
09b2 0784
0acf 0643
0c17 059a
0c4e 06e3
0b24 092c
0a21 0a67
0b32 0ad9
0cf2 0b66
0ce7 0ae4
0c25 0954
0c42 08db
0c51 09fa
0afb 0b32
0878 0b60
070b 0ae8
085b 0b3f
0a68 0c5b
0aef 0c7b
0a86 0b42
0996 0a49
088b 0b21
08da 0d46
0989 0e57
08eb 0d6f
080b 0c78
078f 0c9b
0764 0cb6
07ac 0c9b
06f7 0cd9
0519 0d28
0475 0dea
05e5 0f18
0729 0f81
0656 0ed6
0452 0dd3
02a8 0d0f
01ee 0c6c
024d 0c62
02dd 0e70
0248 1176
00ec 1232
004f 1112
0127 1098
026e 1065
0292 0fd1
01e9 0fcd
01ef 0fe1
023c 0ece
01b5 0dd7
014a 0e27
0252 0de5
03ab 0ce2
0348 0d3d
0220 0ecb
026b 1003
032f 105f
021a 102a
008e 1003
014c 100b
0295 0f33
0218 0d74
0127 0d1a
00cc 0ea7
0133 1018
025f 1083
031d 0f60
034c 0d39
03ae 0c32
0400 0c74
0470 0d0e
0594 0db2
0686 0eac
060e 0fd4
0571 0f66
06b8 0daa
084f 0cdb
0819 0cf6
080e 0d46
0966 0e36
0a9d 0f2a
0b41 0ee0
0b5b 0de4
0a02 0d03
078c 0bbd
06a9 0a13
0799 0917
07ec 0964
0810 0a70
092b 0ba9
0a03 0cf7
0a3b 0d73
0aba 0c70
0b2a 0b7d
0aa9 0b09
0985 097f
096a 082a
0aa9 08a3
0b81 0906
0b76 0893
0b1e 0865
0aff 08d0
0b7d 0926
0c25 0856
0c2f 0716
0bbb 0635
0c54 0550
0e4b 04e0
0fbf 04f8
0fdd 04fb
0f92 04be
0fcb 03ed
1062 02bd
101e 022e
0f18 02c2
0e98 03d0
0e27 03c9
0d78 023b
0da0 00d6
0e09 0051
0d56 0030
0cb0 0115
0d43 028d
0ddb 0281
0e2a 00d6
0ee5 002c
0fa1 00c5
0f64 0027
0e0d feed
0d17 feb4
0d36 fed4
0d4e fe9c
0d89 fe39
0e7f fe16
0f15 fd3d
0f22 fb79
0f54 fb17
0f40 fbf5
0ef8 fc29
0f44 fb87
0feb fa48
0fbd f8eb
0e53 f810
0c79 f78d
0b16 f6aa
0ac0 f536
0b70 f491
0cb2 f58f
0da1 f693
0d4b f6ba
0c4e f6f7
0b80 f6ee
0a87 f597
09c2 f407
09e5 f404
0a83 f4e4
0b30 f53c
0b52 f578
0a44 f571
0940 f4a7
0946 f428
0995 f404
0999 f3ce
08d0 f38c
07e6 f2c8
084b f2e3
08a2 f52b
072c f6f3
057c f5b1
05c1 f359
0726 f286
074b f2a4
05ef f22d
049e f18c
043a f188
04c8 f18d
0581 f156
057a f0e4
0580 f048
0676 f040
0797 f169
07d0 f32c
06ce f3c1
0554 f316
043b f2d2
040f f2bf
0552 f21e
06d8 f1c5
072b f212
06b6 f2b0
0572 f343
0394 f298
035a f0df
0525 f027
0632 f0c0
0590 f1a9
0545 f250
0649 f279
0750 f2d4
075c f30e
075e f1f4
07b8 f103
07cb f1b0
083a f2e5
0915 f3ef
0999 f4b8
09a2 f514
0964 f59d
0a0d f6a1
0b9b f736
0c45 f6b2
0b7c f582
09c2 f4d8
08cf f5c1
09de f781
0b17 f858
0b40 f858
0add f879
0a6a f88e
0b07 f8af
0c32 f913
0beb f953
0b23 f96f
0bcf f98a
0d0b f9e2
0d7c fa33
0d6f f901
0dc9 f6de
0ea9 f6b9
0f1c f890
0edd fa0b
0e0f faa7
0cf7 fa97
0d3d fa05
0ed0 f98e
0f86 f9b2
0efc fad0
0e7b fc7b
0f24 fdb9
103e fe2c
1058 fe50
104b fe40
11a0 fdce
1377 fdf5
13a3 ff51
126d 00cd
11d7 00c7
124b 000a
12e6 01a4
125a 044e
10e6 0417
10a7 02f9
1198 044a
11d9 0582
10d0 04e7
0f50 046d
0f09 0449
103b 04c5
1159 062d
1198 0682
1031 0585
0dbc 050c
0cb6 065a
0d39 0856
0d8e 07b0
0d89 04de
0dde 0450
0e2a 064a
0e67 078a
0f20 080d
0f89 08cb
0f6b 08f2
0f44 0928
0e8d 09c1
0d4d 096b
0c10 08af
0b88 090c
0c1d 0aa6
0be7 0c43
0a2b 0d61
08dd 0e59
085b 0df4
07f1 0c4e
07ca 0b42
0854 0af5
08fc 0bc2
088b 0e3e
0792 1044
0719 0feb
06aa 0ed4
0630 0ecc
0605 0ebb
0587 0d90
049d 0ced
045f 0dcd
04d4 0f2c
04d8 109c
0465 10ea
0472 0f7c
04d4 0ef2
0452 101d
0288 10ee
00ad 10c8
0041 0faa
0152 0e21
0213 0dda
0146 0e8f
00d3 0f47
024f 106c
03dc 11af
03e2 11f3
02ce 10f8
01a5 0fa2
014e 0f7a
00b0 10a4
ff2c 117d
fe20 1185
fd69 1069
fd14 0e24
fdc2 0d66
fe7b 0ef7
fe97 1069
fdec 108c
fc69 101c
fa7a 100a
f8f9 0ff8
f8df 0f79
f911 0ee1
f8ab 0e3e
f917 0d63
f9e3 0c5a
f91f 0b92
f792 0b44
f694 0bce
f553 0d2f
f466 0e1d
f559 0e28
f6da 0e66
f742 0f15
f6d6 0ef4
f631 0d13
f5e5 0a52
f5ca 08a7
f565 08a6
f582 09b4
f60b 0b59
f5f4 0bb4
f5b8 09cb
f587 07da
f459 070e
f285 06e8
f202 07e8
f349 09b5
f3bb 0a18
f200 0882
f0e8 0702
f1b5 06cf
f212 0713
f1a9 0704
f22a 06c4
f2a7 069c
f1d2 0672
f12e 0640
f192 06b0
f2a8 075b
f434 06b4
f514 0578
f463 0526
f2dd 042e
f217 0222
f1f0 019a
f172 0313
f153 051f
f24d 067c
f36b 0689
f356 0627
f2f7 05ef
f3b7 05bc
f424 061c
f37b 0733
f35c 0841
f432 0864
f4ee 0754
f451 061f
f253 0559
f0fe 04f3
f1ec 054a
f3cb 0541
f466 0406
f3f1 040e
f32b 06c1
f21b 0951
f1c7 09fe
f284 09af
f313 0861
f2f0 0712
f201 0782
f048 089e
efb2 098f
f0ef 0aa0
f223 0a70
f2b7 08a9
f2e4 0742
f31c 0747
f3f9 0871
f503 0a4c
f5c0 0b96
f61f 0bb9
f636 0bbb
f61f 0bc8
f5c9 0bb9
f5b1 0bcd
f657 0ba9
f786 0be0
f8d9 0ce4
f9b3 0d67
f9a3 0cc9
f9a0 0c46
fa97 0dba
fb51 1074
fb0e 11c9
fb32 1113
fc1f 0f13
fc88 0d44
fc42 0d39
fc88 0e44
fd84 0e98
fe1c 0dd8
fd87 0d30
fc4c 0d9b
fc5a 0ecd
fd44 0fd3
fd0b 0fea
fd68 0f36
ff87 0ec0
00f6 0f15
00c3 0f83
004b 0f65
008f 0f67
017f 101b
0243 10ac
0242 0ff1
0206 0eb6
01dc 0e64
018f 0dcf
0218 0cf5
0374 0d15
040e 0cc6
03e4 0b7a
03b6 0a5e
0419 0a54
0578 0bdb
074d 0d19
0895 0c16
0846 0a89
072b 0aa7
06eb 0c05
072a 0ca7
0798 0c0b
08b5 0bad
09b3 0ba5
09a2 0b3f
091c 0a81
0918 0956
0a67 07e8
0d0d 06a2
0ed5 05dc
0e49 05a8
0cfe 0601
0c14 0705
0b01 08cc
09c2 0a9d
0995 0b17
0bb5 0ab2
0e25 0a54
0e2e 091f
0d87 079c
0d71 0770
0cb6 0780
0c74 06b2
0cca 0670
0c34 0660
0c34 0510
0d6d 043f
0dd4 0527
0d5d 05e7
0d00 05be
0cd6 0548
0d39 04ed
0dce 055a
0d9a 05c4
0cd7 048f
0c29 02da
0ba9 028a
0c1d 0325
0dcf 0411
0f4a 0526
0fdc 0513
1097 03f8
1160 03b3
110a 039e
105a 02aa
0ffd 0277
0f22 0359
0de5 03ad
0d5b 033a
0e1e 0298
0fb1 0258
1098 032c
0fd1 047d
0ede 04f1
0f56 041a
101d 02ee
100b 0300
0f21 03b3
0e12 03bc
0d37 0426
0bfb 0445
0b71 02fe
0c2b 02ce
0ccd 0440
0d3c 0560
0d1c 0684
0c0c 081d
0bcc 08dc
0d43 07e3
0f0e 0629
0fa5 05a3
0ef0 0650
0e3c 06d5
0dab 06f3
0c25 0695
0af6 0691
0b85 07ab
0c43 086d
0c8f 083f
0cdf 084f
0c1e 092f
0b7d 0a80
0caf 0ba4
0cec 0b9a
0b59 09c8
0a57 07d4
0a61 07e8
0af1 0a1d
0aa6 0cbb
08d3 0ea0
06e5 0fff
05f3 0ffd
05eb 0e4d
06a0 0d18
07c1 0deb
0835 0f59
081a 0fbe
07f3 1042
073a 10f1
06f2 0ff9
07be 0ea2
0814 0e57
0751 0ddb
0619 0cc5
052f 0b73
0512 0ab8
0489 0ba9
0300 0d7d
026e 0e66
034a 0e2d
03c5 0e44
02e0 0f0c
022c 0f8c
02bb 0f87
0284 0efa
00ce 0ddc
ff5c 0d07
fef4 0cf5
ff15 0d61
fef6 0e26
fe1d 0e8a
fdc4 0dd7
fecd 0d1a
ff18 0dd9
fd5a 0f8a
fb21 10a2
fa4a 10a1
fb65 0fce
fc96 0f30
fc29 0f77
fb38 101c
fb73 105c
fc76 0f6c
fba7 0dc4
f8c6 0d04
f791 0d18
f8d8 0cd8
f90a 0c76
f7e0 0c44
f835 0c66
f984 0da2
f9d1 0eba
f8e0 0dec
f74a 0cb8
f656 0c5c
f67e 0bbe
f64d 0a99
f55e 09a8
f4fb 0969
f4a6 0a00
f3f5 0ab8
f3d0 0a75
f39f 0961
f2f0 08c0
f25a 084b
f27e 071a
f397 0642
f43f 06f8
f300 086d
f0ce 08d7
efcf 077b
f067 0544
f1ad 0424
f2e4 0510
f364 063a
f336 0616
f30b 0559
f380 0470
f400 03a6
f31a 03e0
f18d 04ac
f169 0496
f1fb 0320
f16c 016d
effd 0126
eeb8 01d0
ee44 01ad
eeba 00c6
ef89 ffed
f089 ff8d
f1ca ff67
f2a6 feef
f323 fee4
f369 ff7b
f2d8 ff5d
f22d fea7
f163 fe87
efb3 fe8f
ee80 fe23
ee60 fd69
eeea fc97
f050 fbfc
f1f0 fafd
f2eb f9f1
f2d2 f9b4
f1e4 f8b0
f141 f706
f179 f74f
f1f8 f942
f1ab fa39
f0d7 f8f8
f0cc f735
f1e7 f6f3
f449 f765
f656 f725
f5ee f691
f52d f686
f643 f6a3
f6d6 f658
f52f f609
f410 f572
f558 f497
f685 f444
f67a f418
f73d f3c3
f852 f3f2
f799 f487
f63a f4c5
f63c f554
f6de f69f
f730 f720
f79b f5f8
f79c f464
f6fe f434
f6f6 f50a
f70b f515
f69d f410
f6de f278
f7cd f116
f938 f067
fb9d f03e
fd32 f0f0
fc3d f184
fa86 f115
fa74 f0ed
fbb1 f188
fc22 f233
fb96 f1f7
fc46 f011
fe23 eec9
fed1 f05a
fea9 f238
ff55 f1d3
0028 f056
ffee effa
ff16 f118
fee3 f214
ffbb f1fa
00be f1a6
00fb f1a0
00af f06d
00b9 ee04
0100 ed50
00ea ef59
00b2 f1df
0151 f2c2
033f f287
04c1 f2b4
0437 f31a
0308 f2fe
028e f29a
02e9 f22e
03f1 f165
0426 f0a1
02d3 f017
0294 ef31
0596 ef21
091b f0e9
0a39 f26a
0956 f21a
0769 f1c5
061a f278
062f f2ba
06cd f2e8
07c4 f447
08d5 f531
09a0 f457
0ad1 f394
0c26 f4a1
0bd0 f604
0a4a f636
09e5 f612
0acf f5fc
0bf4 f655
0c29 f72b
0b0f f739
0ab4 f750
0bad f818
0c57 f830
0cb3 f859
0c88 f928
0b56 f890
0abf f6c4
0bbb f645
0d41 f734
0e7b f86f
0ef7 fa04
0e4b fc01
0cf8 fd5a
0ca3 fccf
0e37 fb95
106d fb89
10ce fbe6
0e96 fbaa
0cd9 fb5c
0e00 fbd8
0fa8 fd13
0f80 fe15
0ed5 feb6
0f5a ffc8
104b 0065
0ff3 ff5c
0ea1 fdfa
0dcb fda8
0e1a fe5d
0f25 ff7f
0f6a 0037
0e90 004e
0db1 0120
0d14 0338
0d22 04f9
0e0f 05a8
0eab 0623
0e70 067d
0dc6 05c4
0d0d 046d
0cf6 03d8
0d5e 0434
0d7d 054f
0d97 0679
0df3 06c9
0dec 06f3
0d24 06f4
0c6b 0641
0c34 0678
0bda 078b
0b9b 07f6
0c3a 085e
0d3b 093a
0d57 09c5
0c55 0933
0b7d 0839
0b05 08b1
0a36 09d8
09da 09f2
0a99 0985
0b76 097e
0b4b 0a25
09c5 0b6d
07c4 0c9e
0712 0ca5
07dd 0bdb
0850 0c07
07a3 0d7a
06ed 0f07
06c0 104b
060f 1074
04f2 0eb4
0501 0d94
05f5 0eae
0673 0f24
0637 0e0a
0577 0d88
0481 0dd4
03a1 0e31
0346 0e2a
03fe 0d4c
0516 0d43
04dc 0eae
03c4 0efa
0343 0e2d
0266 0e82
00ae 102b
ff1f 1188
fdfd 10d2
fdde 0f3c
fec6 0eec
ff4e 0ef4
ff54 0ec2
ffcb 0eef
0027 0edf
ff25 0ee3
fdad 0f46
fd4e 0ec6
fd89 0d50
fd83 0c55
fcae 0ce5
fb11 0e5b
fa9c 0f2b
fbbd 0ed5
fc5f 0def
fc3e 0d59
fc57 0d25
fcf1 0cd9
fd30 0c9f
fb4c 0c74
f895 0bb3
f843 0a53
f969 09b4
f921 0b49
f805 0e9e
f838 1166
f906 1184
f8a9 0ff4
f757 0ef9
f61c 0dc4
f5f0 0b6f
f6b5 0987
f720 08da
f71b 090c
f6b6 0973
f514 08ff
f2d7 07bf
f29a 07fe
f48b 0ae6
f585 0cbc
f4f9 0b2d
f444 0a0f
f380 0ba3
f322 0d67
f328 0d76
f2c5 0c5e
f202 0b37
f1f6 0a20
f31c 0889
f416 0711
f4b8 0661
f5a7 0596
f582 052a
f42a 0660
f394 0767
f490 06f8
f5d8 073f
f560 087e
f37f 08b1
f290 081c
f315 07e4
f49f 07ba
f70d 073a
f87e 0709
f7f1 07e0
f710 08f6
f687 0918
f5ca 08c1
f51e 0908
f529 09fb
f616 0b42
f736 0cce
f78c 0e14
f744 0de7
f708 0c84
f6e0 0b5c
f6f3 0b0e
f703 0bf3
f6ca 0d33
f75e 0d0a
f919 0c0e
fa3a 0ba6
f9b0 0baf
f8b9 0bd3
f895 0bb3
f8e1 0ba1
f8f6 0c24
f9b5 0c7e
fc07 0d16
fdb3 0e31
fd16 0e4b
fccc 0da7
fdae 0dde
fd82 0e61
fd17 0d80
fe54 0c45
ff92 0ce3
fed9 0e5f
fd5c 0f2a
fce1 0f0e
fd5b 0dc4
fee6 0db7
012b 1099
01dd 128d
00f7 1103
00d4 0e61
0172 0d65
0192 0e87
0121 1015
010d 1053
027c 0fac
04d9 0f7b
05c1 1044
044d 10a1
02bb 0f38
02b2 0dba
0325 0d4b
033e 0d2a
036e 0dbc
047b 0ed1
0685 0eaa
0851 0ca8
08e4 0ad5
08fd 0b01
098a 0bda
0a13 0c30
0a43 0c4f
0a58 0c6e
0a0b 0cd7
09da 0d08
0a93 0c67
0bfa 0b80
0d44 0b01
0d75 0b48
0c77 0be5
0b9f 0be1
0c28 0b41
0d5f 0a61
0e0d 09af
0e85 09c1
0ed4 0abe
0e34 0c11
0d79 0bf3
0d9c 09f1
0e10 07bd
0e96 0652
0ea1 0542
0dcd 0420
0ced 03e1
0cb1 04f3
0cb3 0598
0c2e 04f5
0bed 0443
0c4c 0450
0c37 045a
0c0a 036c
0cd6 028e
0e54 02b0
0f81 02e1
0fb5 0332
0ede 0321
0dc6 01d5
0d83 0131
0e21 01eb
0e93 02d7
0de9 034d
0cfc 0260
0d24 0073
0db7 feeb
0d6b fe30
0cb5 fe91
0ce4 ffc3
0d56 00f3
0ca6 01a2
0bb1 00d6
0bfa fe8e
0cbb fc72
0c61 fbb1
0bb8 fc9c
0c32 fe3a
0d53 fe9f
0e29 fd8f
0e46 fc5a
0d9c fc0f
0ce9 fc85
0d56 fc6c
0ea6 fbb5
0f80 fc13
0ff1 fda7
100a fe85
0fbd fe71
1081 ff16
1219 006d
12f0 007e
133b fefa
126b fdf1
0fe8 fe1d
0e83 fe98
0f9a ff72
1016 0043
0e72 ff7c
0cb8 fd94
0c7f fcdb
0db5 fe69
0f38 012c
1004 0333
0fbe 042f
0e75 0483
0df2 040a
0f13 0425
0fab 0564
0e9b 0635
0d9a 0622
0e3b 0564
0f5c 04a6
0efd 0480
0d57 040c
0bca 0453
0aa2 069b
0a39 0866
0bc5 0892
0e4e 08c6
0f0c 08ec
0dfe 0801
0d22 06eb
0cb0 0685
0c01 05c6
0bce 0515
0c59 0620
0bf1 0876
0a1f 0a95
08e9 0b98
098a 0b89
0ad0 0b42
0ae4 0b62
097f 0bbe
0786 0bbe
05ed 0b46
0645 0b8f
0818 0d5b
0847 0ed7
06e6 0e8f
06ca 0dd8
07d0 0e01
080f 0ed8
07b3 0f98
07b5 0f4c
07c5 0e37
082f 0dcc
0906 0e6f
0845 0f4c
05d9 0fdf
03c9 1039
0313 1008
03a9 0f42
0466 0ef7
0477 0f84
0454 1074
0431 11fe
03b2 139a
029d 13cf
0110 1260
ffd6 1092
fefe 1005
fe04 10ef
fde3 11c2
fe8e 114f
fde6 0fb6
fca3 0e02
fd45 0d09
ff0a 0c0d
ffe5 0b24
ff27 0bc7
fde0 0da1
fd5c 0fa7
fcc3 1188
fbd3 1277
fb86 1299
fafe 127d
f9a4 1121
f86e 0f3f
f79a 0e57
f77a 0db7
f804 0d67
f83f 0de2
f8cb 0e4b
f9ac 0e29
f8e2 0e19
f725 0e95
f707 0fc1
f7e0 110a
f7ec 1156
f7ac 1041
f776 0de4
f6ea 0bc9
f6a4 0b9e
f6c0 0bd0
f6be 0a8a
f643 090d
f4d0 08d1
f3cd 0a2b
f4e3 0c2a
f694 0c22
f6bb 0a62
f55b 0a88
f426 0c71
f46e 0ce6
f5a7 0baa
f667 0a6a
f61f 0a23
f5c0 0ae8
f678 0b32
f76c 0ab0
f799 0b2b
f788 0c76
f732 0c7a
f6b1 0b20
f615 0a25
f4f5 0a41
f49d 0add
f628 0b00
f79c 0b6e
f676 0d7b
f439 0f7d
f446 0fae
f643 0ed2
f7d0 0deb
f844 0d8a
f804 0dd3
f7cd 0e0c
f813 0e16
f884 0e39
f952 0e28
fa66 0e4d
fac6 0efc
faab 0f16
facb 0e27
fb25 0d7f
fb9d 0e25
fbc3 0f21
fb43 0eef
fa6b 0e37
fa09 0e6a
fa74 0ed7
fb48 0df3
fcd8 0c46
fee9 0c16
ff8e 0db5
fecf 0eea
febb 0ef3
ff17 0ec2
ff0b 0e54
ff9b 0d9e
008e 0d32
0062 0c98
000e 0be4
00b0 0caa
010c 0e68
00e3 0f02
00f8 0e4a
01b8 0d71
0309 0d26
03f0 0d7a
0432 0e3d
0434 0ebc
0495 0edd
05a9 0f3f
06d8 0f57
07d1 0ebc
07ae 0df9
066d 0d16
05f7 0c99
06bb 0d24
07de 0e14
08f1 0ee9
09e8 0ef0
0a7d 0db4
0a0a 0c91
091d 0bb6
0932 0a3b
0aaa 09d1
0c44 0b5f
0bfa 0c24
0a18 0b28
0978 0a62
0a40 0a44
0a76 0a1d
0a8e 09db
0b68 09cc
0c19 09e6
0c01 09a3
0b92 096f
0af0 09ac
0a18 08f9
09ed 071a
0aa8 05f3
0add 05cc
0aa3 0573
0bb9 054d
0d48 0683
0cee 075f
0b48 052e
0b0a 024d
0ca0 0293
0db4 0464
0d5c 0449
0d69 027b
0e12 0154
0e09 017e
0d95 020c
0d1d 025f
0d41 0243
0e93 0205
0fc8 01c9
0fdd 0135
0fb9 0093
0fa8 0020
0e8f ffde
0cf0 ff9d
0c98 fef4
0df9 fe04
0fa9 fd2b
1045 fd14
102d fd65
0fb6 fd02
0ea7 fc19
0e21 fb89
0eb0 fc0a
0eb3 fcc4
0da8 fbe5
0ca1 fa6f
0c32 fb02
0c62 fce1
0cbf fd97
0d66 fd12
0e60 fc2b
0eba fb7c
0e80 fc35
0ea0 fdf0
0f9e fe9d
1111 fe6d
11b5 feae
1113 fee6
0ff0 fefa
0ef2 ff4a
0e4f ff07
0de4 fe55
0d9c fdf6
0e06 fd49
0ec4 fc55
0eaf fc37
0e59 fcce
0eba fd4f
0eb9 fe17
0d71 ff2f
0c22 ffa6
0c4c ff90
0db4 fff1
0e6e 00b8
0e29 0093
0e5b 003c
0ef4 0119
0f81 01c7
0fc6 01fb
0ef9 0312
0db7 03c7
0dc1 027a
0ee2 017b
0f52 02d9
0f05 04a3
0e95 05cf
0e4e 0654
0f91 0578
1173 046f
1169 0437
1007 0447
0ed8 04ad
0dea 068e
0d2d 096e
0d12 0aa4
0d7b 0a32
0d71 0937
0cdb 0755
0cc0 0630
0d45 0634
0db7 055a
0dc6 053b
0d25 072b
0c4f 08d0
0c61 09eb
0caa 0b63
0b8e 0b71
099b 09cd
0880 0974
0841 0a85
0862 0a66
08b0 09a0
0878 0a23
07d1 0b5d
0756 0c03
06dd 0c31
0726 0c6a
08d6 0cf2
08fd 0d6a
0647 0d28
0480 0cbf
054a 0cc0
06b1 0cef
0821 0c89
09a9 0b6a
0961 0b59
066c 0c43
03d1 0c51
0402 0c12
05f3 0cae
078d 0dd5
0734 0ec7
0532 0ef5
0322 0ee1
0184 0fb1
004a 107f
0000 0f51
00a2 0cd6
00f7 0b67
004c 0beb
fef5 0d56
fdcb 0e49
fdca 0f13
fe60 1051
fe1f 1121
fdee 10c4
ff79 0f89
0123 0ea5
002e 0f26
fd5c 1000
fc11 0f41
fd01 0d7d
fd01 0d23
facb 0e09
f8d7 0e60
f8c6 0e57
f9cb 0e5c
fa39 0e18
f91d 0dfa
f7af 0e1b
f789 0dae
f7d2 0d04
f75a 0cf0
f736 0cc1
f890 0bfb
fa61 0b1a
fa7c 0a51
f8ef 0a12
f7dd 0a6f
f78f 0b3a
f6e1 0c7d
f61f 0ca6
f616 0aaa
f5bc 08e2
f466 0919
f394 0983
f353 08bb
f2aa 07da
f2ba 07c4
f3c6 08da
f4a5 0a48
f52d 09f8
f4c0 0814
f37e 06bb
f2f2 0713
f312 0774
f2dd 0620
f249 0516
f219 05ab
f2d8 063a
f373 0613
f243 0577
f02b 048f
efa6 041a
f0da 04b2
f1d0 0587
f1df 04ce
f14c 02ee
efbe 01af
ee7c 00e0
ef02 00c8
efdb 01b8
efd0 022c
ef89 0275
ef38 0362
eedb 0355
eec7 01ac
ef14 0011
f015 ff63
f1ac fef1
f291 fee0
f22f febe
f1ac fcda
f18d faf0
f113 fba7
f0a1 fd85
f0f7 fe26
f24e fd63
f41c fc6c
f3e6 fbe2
f168 fb74
f02f fb65
f18e fba6
f344 fb39
f3a9 fa40
f3f3 f94f
f5c9 f896
f7ae f87e
f708 f8d0
f40b f832
f1ba f5d7
f1c2 f3b1
f241 f42e
f211 f62b
f254 f708
f347 f6ed
f46c f6de
f5a2 f61b
f697 f4fe
f75a f5d3
f7f3 f7c9
f840 f774
f8ca f5bc
f9ce f5c2
fa58 f6e5
f924 f6da
f6b0 f56b
f4d1 f40d
f4b2 f331
f5ec f293
f73d f25a
f903 f1ea
fba6 f130
fd15 f134
fc74 f212
fb21 f2f1
f98e f339
f840 f2e1
f7e2 f240
f86a f1ed
fa09 f21d
fbba f2b5
fbe7 f407
fb0c f5cb
fb0e f5f8
fc83 f3af
fdf2 f159
fe6f f06d
fecf efeb
ff9f ef9f
0074 f007
00d0 f07a
0093 efee
006e ef51
00b9 f055
00a3 f22c
0013 f2af
0064 f17f
0206 efd8
037e eea5
03d4 ee54
03a1 ee80
0376 ee77
03b1 eee7
047b f037
04e8 f19d
04fa f2d2
056b f3b2
05d7 f3e1
064b f382
06da f2b2
074b f281
07e2 f467
080a f612
0737 f49b
067d f2ae
06cf f2cf
0840 f2b6
0a3f f210
0abd f325
08bd f4ed
06aa f4ee
06df f3ef
085f f43b
0982 f53d
0a5b f59e
0aed f6a2
0b4f f829
0b7f f7c2
0ae9 f622
0a96 f652
